"Наименование";"Цена1";"Цена2";"Цена3";"Код"
"Бумага с белой обратной стороной 1.6м";115;105;95;"000000027"
"Бумага с синей обратной стороной 1.6м";110;100;90;"000000026"
"Виниловая ткань  Frontlit 3,2м. (ГЕРМАНИЯ) литой 450 г/м?";320;260;220;"000000002"
"Виниловая ткань DLS Frontlit 3,2м. (РОССИЯ) литой 510 г/м?";250;200;180;"000000003"
"Виниловая ткань Frontlit 3,2м. (КИТАЙ) 300 г/м?";160;120;94;"000000006"
"Виниловая ткань Frontlit 3,2м. (КИТАЙ) 440 г/м?";190;150;130;"000000005"
"Виниловая ткань Frontlit 3,2м. (КИТАЙ) литой 510 г/м?";250;200;180;"000000004"
"Виниловая ткань Starflex (Блэкаут), 3,2 м";400;370;290;"000000011"
"Виниловая ткань траслюцентная, 3,2 м";540;500;450;"000000012"
"И / Бэклит реверсивный, ширина 1,52м;";900;720;630;"000000019"
"И / Бэклит, ширина м;";900;720;630;"000000020"
"И / пластик "блэкаут" 94см.";900;720;630;"000000029"
"И / Самоклеющаяся бумага для интерьерной печати, Orajet, Германия, ширина 1,07 м";1 500;1 200;1 100;"000000023"
"И / Ткань сетчатая, Китай, ширина";650;520;460;"000000024"
"И / Холст искуственный, Китай; ширина";900;720;630;"000000021"
"И / Холст натуральный, Китай; ширина";1 500;1 200;1 100;"000000022"
"Материал заказчика";100;100;100;"000000030"
"Материал заказчика (натяжные потолки)";300;300;300;"000000025"
"Полиэстер, 1,52м";390;300;240;"000000015"
"Самоклеющаяся пленка (глянцевая) Orajet, Германия, ширина 1м;  1,26м; 1,4м; 1,52";290;250;190;"000000009"
"Самоклеющаяся пленка (матовая) Orajet, Германия, ширина 1м;  1,26м; 1,4м; 1,52м";290;250;190;"000000014"
"Самоклеющаяся пленка (прозрачная) Orajett, Германия, ширина 1,26 м";290;250;190;"000000008"
"Самоклеющаяся пленка Кристал, Китай, ширина 1,26м;";750;710;670;"000000017"
"Самоклеющаяся пленка Перфорированная, Китай, ширина 1,22м;";390;360;340;"000000028"
"Самоклеющаяся пленка транслюцентная, Oraget, Германия, ширина 1,26м;";600;580;540;"000000016"
"Сетка виниловая 3,2м.  КОРЕЯ";240;220;180;"000000010"
"Сетка виниловая DLS, Россия, 3,2м.";240;220;180;"000000013"
"Флаговая ткань, Китай, ширина 1,52м";500;450;390;"000000018"
